# names: SemiClean 1; 2; 3; 4; 5; 6; 7; 8; 9; 10
0.0000 0.001129 0.000056 0.000062 0.000068 0.000073 0.000079 0.000085 0.000090 0.000096 0.000102 0.000107
0.0500 0.025705 0.001334 0.001469 0.001603 0.001737 0.001872 0.002006 0.002140 0.002274 0.002409 0.002543
0.1000 0.292139 0.015764 0.017364 0.018963 0.020561 0.022159 0.023756 0.025353 0.026949 0.028546 0.030142
0.1500 1.657954 0.096563 0.106511 0.116446 0.126371 0.136290 0.146203 0.156112 0.166018 0.175921 0.185821
0.2000 4.698537 0.318635 0.352415 0.386113 0.419750 0.453344 0.486904 0.520437 0.553948 0.587443 0.620924
0.2500 6.649046 0.608670 0.676703 0.744451 0.811994 0.879382 0.946651 1.013828 1.080930 1.147971 1.214964
0.3000 4.698537 0.762569 0.855608 0.948077 1.040127 1.131862 1.223352 1.314648 1.405789 1.496804 1.587714
0.3500 1.657954 0.743952 0.846259 0.947854 1.048913 1.149561 1.249884 1.349949 1.449804 1.549486 1.649025
0.4000 0.292139 0.659523 0.762888 0.865705 0.968085 1.070114 1.171860 1.273372 1.374690 1.475848 1.576868
0.4500 0.025705 0.573011 0.674660 0.776209 0.877630 0.978922 1.080091 1.181149 1.282108 1.382979 1.483773
0.5000 0.001129 0.496787 0.595448 0.694650 0.794186 0.893933 0.993816 1.093788 1.193819 1.293888 1.393983
0.5500 0.000025 0.430655 0.525482 0.621602 0.718611 0.816253 0.914357 1.012807 1.111523 1.210444 1.309528
0.6000 0.000000 0.373325 0.463736 0.556234 0.650226 0.745321 0.841249 0.937820 1.034897 1.132379 1.230188
0.6500 0.000000 0.323627 0.409246 0.497740 0.588349 0.680553 0.773986 0.868385 0.963554 1.059348 1.155654
0.7000 0.000000 0.280545 0.361158 0.445397 0.532360 0.621413 0.712102 0.804091 0.897130 0.991028 1.085637
0.7500 0.000000 0.243199 0.318721 0.398559 0.481699 0.567413 0.655165 0.744557 0.835284 0.927113 1.019861
0.8000 0.000000 0.210824 0.281270 0.356646 0.435860 0.518105 0.602781 0.689430 0.777702 0.867321 0.958071
0.8500 0.000000 0.182758 0.248220 0.319141 0.394382 0.473082 0.554585 0.638386 0.724089 0.811385 0.900025
0.9000 0.000000 0.158429 0.219054 0.285580 0.356852 0.431972 0.510243 0.591120 0.674172 0.759056 0.845495
0.9500 0.000000 0.137339 0.193314 0.255548 0.322893 0.394434 0.469446 0.547354 0.627697 0.710102 0.794269
1.0000 0.000000 0.119056 0.170599 0.228675 0.292165 0.360158 0.431912 0.506829 0.584425 0.664306 0.746147
1.0500 0.000000 0.103207 0.150553 0.204627 0.264362 0.328860 0.397378 0.469304 0.544137 0.621463 0.700940
1.1000 0.000000 0.089468 0.132863 0.183108 0.239205 0.300283 0.365605 0.434557 0.506625 0.581383 0.658472
1.1500 0.000000 0.077558 0.117251 0.163852 0.216441 0.274188 0.336373 0.402383 0.471700 0.543887 0.618577
1.2000 0.000000 0.067233 0.103474 0.146622 0.195844 0.250361 0.309478 0.372591 0.439182 0.508811 0.581100
1.2500 0.000000 0.058283 0.091315 0.131203 0.177207 0.228605 0.284734 0.345005 0.408906 0.475996 0.545892
1.3000 0.000000 0.050524 0.080585 0.117405 0.160344 0.208740 0.261968 0.319461 0.380717 0.445297 0.512819
1.3500 0.000000 0.043798 0.071116 0.105059 0.145085 0.190600 0.241022 0.295808 0.354472 0.416579 0.481748
1.4000 0.000000 0.037968 0.062760 0.094011 0.131278 0.174037 0.221751 0.273907 0.330036 0.389712 0.452561
1.4500 0.000000 0.032913 0.055385 0.084125 0.118786 0.158914 0.204021 0.253627 0.307284 0.364579 0.425142
1.5000 0.000000 0.028532 0.048877 0.075278 0.107482 0.145104 0.187708 0.234849 0.286101 0.341066 0.399383
1.5500 0.000000 0.024734 0.043134 0.067362 0.097253 0.132495 0.172700 0.217461 0.266378 0.319070 0.375186
1.6000 0.000000 0.021441 0.038066 0.060278 0.087999 0.120981 0.158891 0.201360 0.248014 0.298492 0.352455
1.6500 0.000000 0.018587 0.033593 0.053939 0.079624 0.110468 0.146187 0.186452 0.230917 0.279241 0.331101
1.7000 0.000000 0.016112 0.029646 0.048267 0.072047 0.100868 0.134499 0.172647 0.214998 0.261232 0.311040
1.7500 0.000000 0.013968 0.026162 0.043191 0.065191 0.092103 0.123745 0.159865 0.200177 0.244384 0.292195
1.8000 0.000000 0.012108 0.023088 0.038649 0.058987 0.084099 0.113851 0.148028 0.186377 0.228623 0.274492
1.8500 0.000000 0.010496 0.020375 0.034585 0.053374 0.076791 0.104748 0.137069 0.173529 0.213879 0.257861
1.9000 0.000000 0.009099 0.017981 0.030948 0.048295 0.070118 0.096372 0.126920 0.161566 0.200085 0.242238
1.9500 0.000000 0.007888 0.015868 0.027693 0.043699 0.064025 0.088667 0.117523 0.150428 0.187181 0.227562
2.0000 0.000000 0.006838 0.014004 0.024781 0.039540 0.058461 0.081578 0.108822 0.140058 0.175109 0.213775
2.0500 0.000000 0.005927 0.012358 0.022175 0.035778 0.053381 0.075055 0.100765 0.130403 0.163816 0.200823
2.1000 0.000000 0.005138 0.010906 0.019843 0.032373 0.048742 0.069054 0.093304 0.121413 0.153251 0.188655
2.1500 0.000000 0.004454 0.009625 0.017756 0.029292 0.044506 0.063533 0.086396 0.113043 0.143367 0.177225
2.2000 0.000000 0.003861 0.008494 0.015889 0.026505 0.040639 0.058453 0.079999 0.105250 0.134121 0.166488
2.2500 0.000000 0.003347 0.007496 0.014218 0.023982 0.037107 0.053779 0.074076 0.097995 0.125471 0.156401
2.3000 0.000000 0.002902 0.006615 0.012723 0.021700 0.033883 0.049479 0.068592 0.091239 0.117379 0.146925
2.3500 0.000000 0.002515 0.005838 0.011385 0.019635 0.030938 0.045523 0.063513 0.084950 0.109809 0.138023
2.4000 0.000000 0.002181 0.005152 0.010188 0.017767 0.028250 0.041883 0.058811 0.079093 0.102727 0.129661
2.4500 0.000000 0.001890 0.004546 0.009116 0.016076 0.025795 0.038535 0.054457 0.073641 0.096102 0.121805
2.5000 0.000000 0.001639 0.004012 0.008158 0.014546 0.023553 0.035453 0.050425 0.068564 0.089904 0.114425
2.5500 0.000000 0.001421 0.003541 0.007300 0.013162 0.021507 0.032619 0.046691 0.063838 0.084106 0.107493
2.6000 0.000000 0.001231 0.003125 0.006532 0.011909 0.019638 0.030011 0.043234 0.059437 0.078682 0.100980
2.6500 0.000000 0.001067 0.002757 0.005845 0.010776 0.017931 0.027611 0.040033 0.055339 0.073607 0.094862
2.7000 0.000000 0.000925 0.002433 0.005231 0.009751 0.016373 0.025404 0.037069 0.051525 0.068860 0.089115
2.7500 0.000000 0.000802 0.002148 0.004681 0.008823 0.014950 0.023372 0.034325 0.047973 0.064419 0.083715
2.8000 0.000000 0.000695 0.001895 0.004188 0.007983 0.013651 0.021504 0.031783 0.044665 0.060264 0.078643
2.8500 0.000000 0.000603 0.001672 0.003748 0.007223 0.012465 0.019784 0.029430 0.041586 0.056378 0.073879
2.9000 0.000000 0.000523 0.001476 0.003354 0.006536 0.011382 0.018202 0.027251 0.038719 0.052742 0.069402
2.9500 0.000000 0.000453 0.001303 0.003001 0.005914 0.010393 0.016747 0.025234 0.036050 0.049340 0.065198
3.0000 0.000000 0.000393 0.001149 0.002685 0.005351 0.009489 0.015408 0.023365 0.033565 0.046158 0.061247
3.0500 0.000000 0.000340 0.001014 0.002403 0.004842 0.008665 0.014176 0.021635 0.031251 0.043181 0.057537
3.1000 0.000000 0.000295 0.000895 0.002150 0.004381 0.007912 0.013043 0.020033 0.029097 0.040396 0.054051
3.1500 0.000000 0.000256 0.000790 0.001924 0.003964 0.007224 0.012000 0.018550 0.027091 0.037791 0.050776
3.2000 0.000000 0.000222 0.000697 0.001722 0.003587 0.006597 0.011040 0.017177 0.025223 0.035354 0.047700
3.2500 0.000000 0.000192 0.000615 0.001541 0.003246 0.006023 0.010158 0.015905 0.023485 0.033074 0.044810
3.3000 0.000000 0.000167 0.000543 0.001379 0.002937 0.005500 0.009345 0.014727 0.021866 0.030941 0.042095
3.3500 0.000000 0.000144 0.000479 0.001234 0.002657 0.005022 0.008598 0.013637 0.020358 0.028945 0.039544
3.4000 0.000000 0.000125 0.000423 0.001104 0.002404 0.004586 0.007911 0.012627 0.018955 0.027079 0.037148
3.4500 0.000000 0.000109 0.000373 0.000988 0.002176 0.004187 0.007278 0.011692 0.017648 0.025332 0.034898
3.5000 0.000000 0.000094 0.000329 0.000884 0.001969 0.003823 0.006696 0.010827 0.016432 0.023698 0.032783
3.5500 0.000000 0.000082 0.000291 0.000791 0.001781 0.003491 0.006161 0.010025 0.015299 0.022170 0.030797
3.6000 0.000000 0.000071 0.000256 0.000708 0.001612 0.003188 0.005668 0.009283 0.014244 0.020740 0.028931
3.6500 0.000000 0.000061 0.000226 0.000633 0.001458 0.002911 0.005215 0.008596 0.013262 0.019403 0.027178
3.7000 0.000000 0.000053 0.000200 0.000567 0.001320 0.002658 0.004798 0.007959 0.012348 0.018151 0.025532
3.7500 0.000000 0.000046 0.000176 0.000507 0.001194 0.002427 0.004414 0.007370 0.011497 0.016981 0.023985
3.8000 0.000000 0.000040 0.000156 0.000454 0.001080 0.002216 0.004062 0.006824 0.010704 0.015886 0.022532
3.8500 0.000000 0.000035 0.000137 0.000406 0.000978 0.002023 0.003737 0.006319 0.009966 0.014861 0.021167
3.9000 0.000000 0.000030 0.000121 0.000363 0.000885 0.001847 0.003438 0.005851 0.009279 0.013903 0.019884
3.9500 0.000000 0.000026 0.000107 0.000325 0.000800 0.001687 0.003163 0.005418 0.008639 0.013006 0.018679
4.0000 0.000000 0.000023 0.000094 0.000291 0.000724 0.001540 0.002910 0.005017 0.008044 0.012167 0.017548
4.0500 0.000000 0.000020 0.000083 0.000260 0.000655 0.001406 0.002678 0.004645 0.007489 0.011382 0.016485
4.1000 0.000000 0.000017 0.000073 0.000233 0.000593 0.001284 0.002463 0.004301 0.006973 0.010648 0.015486
4.1500 0.000000 0.000015 0.000065 0.000209 0.000537 0.001173 0.002266 0.003983 0.006492 0.009962 0.014548
4.2000 0.000000 0.000013 0.000057 0.000187 0.000485 0.001071 0.002085 0.003688 0.006045 0.009319 0.013666
4.2500 0.000000 0.000011 0.000051 0.000167 0.000439 0.000978 0.001919 0.003415 0.005628 0.008718 0.012838
4.3000 0.000000 0.000010 0.000045 0.000149 0.000397 0.000893 0.001765 0.003162 0.005240 0.008156 0.012060
4.3500 0.000000 0.000008 0.000039 0.000134 0.000360 0.000815 0.001624 0.002928 0.004879 0.007630 0.011330
